cincinnati Jul 01, 2010 4587 $3 $8 $5
cincinnati Jun 21, 2010 2551 $13 $28 $15
cincinnati Jun 18, 2010 503 $77 $155 $78
cincinnati Jun 10, 2010 281 $25 $50 $25
cincinnati Jun 02, 2010 430 $25 $52 $27
cincinnati Jun 01, 2010 772 $10 $25 $15
cincinnati May 26, 2010 506 $39 $155 $116
cincinnati May 25, 2010 754 $7 $15 $8
cincinnati May 17, 2010 2255 $6 $12 $6
cincinnati May 13, 2010 1356 $7 $17 $10
cincinnati May 06, 2010 1389 $15 $30 $15
cincinnati May 05, 2010 1322 $30 $75 $45
cincinnati Apr 30, 2010 363 $54 $197 $143
cincinnati Apr 21, 2010 416 $35 $309 $274
cincinnati Apr 15, 2010 862 $15 $35 $20
cincinnati Apr 13, 2010 490 $30 $60 $30
cincinnati Apr 09, 2010 1276 $10 $30 $20
kitchener-waterloo Feb 28, 2011 191 C$15 C$30 C$15
kitchener-waterloo Jan 28, 2011 288 C$99 C$387 C$288
kitchener-waterloo Jan 27, 2011 465 C$30 C$60 C$30
kitchener-waterloo Jan 26, 2011 598 C$15 C$33 C$18
kitchener-waterloo Jan 21, 2011 200 C$35 C$90 C$55
kitchener-waterloo Jan 17, 2011 170 C$12 C$25 C$13
kitchener-waterloo Jan 03, 2011 798 C$5 C$11 C$6
kitchener-waterloo Dec 29, 2010 196 C$50 C$107 C$57
kitchener-waterloo Dec 20, 2010 365 C$10 C$20 C$10
kitchener-waterloo Dec 16, 2010 568 C$25 C$50 C$25
kitchener-waterloo Dec 14, 2010 474 C$11 C$28 C$17
kitchener-waterloo Nov 25, 2010 195 C$39 C$96 C$57
kitchener-waterloo Nov 19, 2010 120 C$56 C$310 C$254
kitchener-waterloo Nov 16, 2010 962 C$20 C$40 C$20
kitchener-waterloo Nov 05, 2010 103 C$45 C$99 C$54
kitchener-waterloo Nov 03, 2010 628 C$12 C$24 C$12
kitchener-waterloo Nov 01, 2010 184 C$7 C$15 C$8
kitchener-waterloo Oct 26, 2010 322 C$7 C$15 C$8
kitchener-waterloo Oct 15, 2010 339 C$32 C$80 C$48
kitchener-waterloo Oct 13, 2010 916 C$8 C$20 C$12
fresno Jan 05, 2011 498 $9 $19 $10
fresno Jan 04, 2011 800 $10 $20 $10
fresno Dec 02, 2010 509 $7 $14 $7
fresno Nov 29, 2010 400 $149 $960 $811
fresno Nov 22, 2010 3527 $25 $50 $25
fresno Nov 19, 2010 527 $10 $20 $10
fresno Nov 17, 2010 886 $20 $60 $40
fresno Nov 16, 2010 2425 $3 $6 $3
fresno Nov 08, 2010 886 $20 $120 $100
fresno Oct 27, 2010 1045 $20 $40 $20
fresno Oct 20, 2010 516 $15 $30 $15
fresno Oct 18, 2010 313 $10 $21 $11
fresno Oct 15, 2010 505 $98 $900 $802
fresno Oct 14, 2010 1475 $5 $10 $5
fresno Sep 30, 2010 612 $10 $20 $10
fresno Sep 02, 2010 1765 $6 $12 $6
fresno Aug 25, 2010 1645 $22 $50 $28
fresno Aug 20, 2010 506 $15 $30 $15
fresno Aug 12, 2010 639 $5 $10 $5
fresno Aug 06, 2010 1313 $10 $20 $10
fresno Jul 16, 2010 979 $15 $30 $15
fresno Jul 08, 2010 391 $10 $24 $14
fresno Jul 01, 2010 845 $7 $15 $8
fresno Jun 17, 2010 466 $10 $20 $10
fresno Jun 14, 2010 1841 $7 $15 $8
fresno Jun 11, 2010 844 $49 $99 $50
fresno May 28, 2010 336 $10 $30 $20
fresno May 21, 2010 357 $10 $20 $10
fresno May 12, 2010 1206 $13 $26 $13
fresno May 10, 2010 1631 $5 $10 $5
fresno May 07, 2010 381 $10 $20 $10
fresno Apr 22, 2010 1177 $10 $46 $36
el-paso Jan 07, 2011 185 $29 $97 $68
el-paso Jan 04, 2011 248 $5 $15 $10
el-paso Jan 03, 2011 119 $25 $60 $35
el-paso Dec 29, 2010 306 $5 $10 $5
el-paso Dec 28, 2010 107 $10 $23 $13
el-paso Dec 23, 2010 183 $12 $25 $13
el-paso Dec 17, 2010 111 $35 $300 $265
el-paso Dec 09, 2010 177 $5 $11 $6
el-paso Dec 07, 2010 553 $10 $20 $10
el-paso Dec 02, 2010 350 $15 $30 $15
el-paso Dec 01, 2010 214 $5 $13 $8
el-paso Nov 16, 2010 178 $7 $15 $8
el-paso Nov 15, 2010 202 $29 $67 $38
el-paso Nov 11, 2010 152 $5 $10 $5
el-paso Nov 02, 2010 112 $12 $30 $18
el-paso Oct 29, 2010 227 $10 $20 $10
el-paso Oct 22, 2010 295 $25 $60 $35
el-paso Oct 21, 2010 265 $5 $10 $5
el-paso Oct 15, 2010 46 $10 $20 $10
el-paso Oct 11, 2010 332 $12 $25 $13
el-paso Oct 05, 2010 161 $10 $119 $109
el-paso Oct 04, 2010 167 $10 $25 $15
el-paso Oct 01, 2010 60 $35 $75 $40
el-paso Sep 29, 2010 309 $5 $11 $6
el-paso Sep 27, 2010 50 $6 $12 $6
edmonton Jan 04, 2011 1167 C$19 C$235 C$216
edmonton Jan 03, 2011 629 C$20 C$40 C$20
edmonton Dec 28, 2010 697 C$10 C$25 C$15
edmonton Dec 20, 2010 726 C$14 C$28 C$14
